Freq,;Column1;Column2
1,6E+17;-2,16044194441223e+001;-8,25522014634767e+000
1,63727E+17;-2,12044300813403e+001;-8,44887958687266e+000
1,67541E+17;-2,08044434595326e+001;-8,64714778321011e+000
1,71443E+17;-2,04044599117524e+001;-8,85013906166996e+000
1,75437E+17;-2,00044798247369e+001;-9,05797082449204e+000
1,79523E+17;-1,96045036176109e+001;-9,27076367837063e+000
1,83705E+17;-1,92045317616502e+001;-9,48864150794715e+000
1,87984E+17;-1,88045647693713e+001;-9,71173174904410e+000
1,92362E+17;-1,84046032066806e+001;-9,94016562476171e+000
1,96843E+17;-1,80046477222567e+001;-1,01740774906070e+001
2,01428E+17;-1,76046989908027e+001;-1,04136063740320e+001
2,0612E+17;-1,72047577941373e+001;-1,06588945104432e+001
2,10921E+17;-1,68048249732079e+001;-1,09100889284704e+001
2,15834E+17;-1,64049014688819e+001;-1,11673402797242e+001
2,20861E+17;-1,60049883102612e+001;-1,14308041917831e+001
2,26006E+17;-1,56050866339787e+001;-1,17006405800938e+001
2,3127E+17;-1,52051976966085e+001;-1,19770141927799e+001
2,36657E+17;-1,48053228772518e+001;-1,22600949204478e+001
2,4217E+17;-1,44054636984199e+001;-1,25500572914189e+001
2,47811E+17;-1,40056218375739e+001;-1,28470816715630e+001
2,53583E+17;-1,36057991362585e+001;-1,31513537926353e+001
2,5949E+17;-1,32059976319146e+001;-1,34630649705907e+001
2,65534E+17;-1,28062195528844e+001;-1,37824126838990e+001
2,71719E+17;-1,24064673599640e+001;-1,41096005034392e+001
2,78048E+17;-1,20067437609680e+001;-1,44448384460713e+001
2,84525E+17;-1,16070517310788e+001;-1,47883432418220e+001
2,91152E+17;-1,12073945427485e+001;-1,51403386356573e+001
2,97934E+17;-1,08077757951356e+001;-1,55010553763484e+001
3,04874E+17;-1,04081994392391e+001;-1,58707319527359e+001
3,11975E+17;-1,00086698289021e+001;-1,62496146484157e+001
3,19242E+17;-9,60919173436448e+000;-1,66379577872468e+001
3,26678E+17;-9,20977040522927e+000;-1,70360240287738e+001
3,34287E+17;-8,81041160463823e+000;-1,74440850903252e+001
3,42074E+17;-8,41112166917408e+000;-1,78624216136237e+001
3,50042E+17;-8,01190754434609e+000;-1,82913238438372e+001
3,58195E+17;-7,61277686846339e+000;-1,87310916774242e+001
3,66539E+17;-7,21373802087159e+000;-1,91820354710194e+001
3,75077E+17;-6,81480020379317e+000;-1,96444760106974e+001
3,83813E+17;-6,41597349695456e+000;-2,01187452601073e+001
3,92753E+17;-6,01726898725384e+000;-2,06051864350164e+001
4,01902E+17;-5,61869881337639e+000;-2,11041548498957e+001
4,11263E+17;-5,22027629567732e+000;-2,16160179073438e+001
4,20843E+17;-4,82201604552337e+000;-2,21411557058687e+001
4,30646E+17;-4,42393408445415e+000;-2,26799614591131e+001
4,40677E+17;-4,02604794888626e+000;-2,32328420289905e+001
4,50941E+17;-3,62837688168977e+000;-2,38002181817112e+001
4,61445E+17;-3,23094194105144e+000;-2,43825250019843e+001
4,72193E+17;-2,83376621514202e+000;-2,49802123659862e+001
4,83192E+17;-2,43687495300653e+000;-2,55937453985382e+001
4,94447E+17;-2,04029581956016e+000;-2,62236044484777e+001
5,05964E+17;-1,64405906481076e+000;-2,68702858556710e+001
5,1775E+17;-1,24819777808617e+000;-2,75343020135114e+001
5,2981E+17;-8,52748152562762e-001;-2,82161813616927e+001
5,42151E+17;-4,57749730886268e-001;-2,89164688910225e+001
5,54779E+17;-6,32457154480500e-002;-2,96357258878808e+001
5,67701E+17;3,30716722714422e-001;-3,03745301941536e+001
5,80925E+17;7,24086104566725e-001;-3,11334756773371e+001
5,94456E+17;1,11680627532157e+000;-3,19131721486742e+001
6,08303E+17;1,50881603213917e+000;-3,27142448321860e+001
6,22472E+17;1,90004870995091e+000;-3,35373337639959e+001
6,36971E+17;2,29043173458810e+000;-3,43830928901725e+001
6,51808E+17;2,67988617883378e+000;-3,52521888426377e+001
6,66991E+17;3,06832627422185e+000;-3,61452996413491e+001
6,82527E+17;3,45565890941515e+000;-3,70631129863849e+001
6,98425E+17;3,84178311318555e+000;-3,80063241027591e+001
7,14694E+17;4,22658949356147e+000;-3,89756331956537e+001
7,31341E+17;4,60995970600471e+000;-3,99717427216263e+001
7,48376E+17;4,99176588397141e+000;-4,09953537359084e+001
7,65808E+17;5,37187007909110e+000;-4,20471618526924e+001
7,83646E+17;5,75012370530206e+000;-4,31278530182630e+001
8,019E+17;6,12636699845859e+000;-4,42380978070222e+001
8,20578E+17;6,50042851046777e+000;-4,53785458981555e+001
8,39692E+17;6,87212463523738e+000;-4,65498191663657e+001
8,59251E+17;7,24125920795006e+000;-4,77525043686058e+001
8,79265E+17;7,60762315769663e+000;-4,89871449478280e+001
8,99746E+17;7,97099426852480e+000;-5,02542319691933e+001
9,20704E+17;8,33113706635248e+000;-5,15541944683390e+001
9,4215E+17;8,68780282432528e+000;-5,28873887459986e+001
